"HolderAddress","Balance","PendingBalanceUpdate"
"0x01eae1f5bd743ea373dafdf9c18da0cbef6d0712","112000","No"
"0x0206320882547f1eb8122605907e8fd508b4bd0c","1000","No"
"0x020c50882a4659469e2a1faa9721ccb0fc78f84e","1000","No"
"0x020d7c47013b2312b71c4bc370ee015666ae6a5e","1000","No"
"0x0212af0cc695ab4e94cc8f8058ab1da4aa007a43","260000","No"
"0x021ec49bd405ca25bd68600c3407a178248ad707","203000","No"
"0x022252663253d24b324622e2b30f44982c1a7293","1000","No"
"0x0222d4cf462af4299294b72b245e8e8b1a5080ca","1000","No"
"0x02264f777f63818ea1b0ee9907bf6c89628cf433","5000","No"
"0x022852a1a3a80d2964f79d526d39b1a9c6ea1d90","14000","No"
"0x0232f3d56b54ef620ec27e465e87974bed340fb4","1000","No"
"0x0233b209226b5ee142a02e9c0ad4b03688691a6c","1000","No"
"0x0235f1194085fdb36dc2eae67313c9dbac6c4ceb","5000","No"
"0x023b54aafadd6fab018dff24db9efcc0f273ad16","8000","No"
"0x024316ffbc68a166d0400b026d24b94d320597cd","125400","No"
"0x02468bb37edff152f12144444a04b4ab78712ed7","28000","No"
"0x02473d1d77821fa891f405dac95580fced6c24e3","4000","No"
"0x0264f29d36e54958803d5ea4954f12be781bb4e4","6000","No"
"0x02651916df46a5d2e0e3c4d8d69ce9c1f6a04e93","37000","No"
"0x026e2ca86bb10cbf042b7205c9f79b70b8ddcba7","83000","No"
"0x026eb6b8bb5a66fb9ac2a0dd69db199dc2f0a579","58000","No"
"0x027d1e3ca00b5a2fdb71818055b72dd458f15981","143000","No"
"0x027f218e02cdeaf923a0782f98c40b06ab09c7da","10000","No"
"0x028264d77c033e85df067deeb7c9c7f4decb3b69","112300","No"
"0x02848bb7a5b834a1847709792596c846562137c0","5000","No"
"0x0288a20fa9840b4b896ab181a56483c76fbac3a3","1000","No"
"0x0288ef956ed186ab3dfa92b77714814e5a55bfa4","23000","No"
"0x029569e9a92e88ce3b53b77f0b4b2b7331624621","9000","No"
"0x02b4c99d3414e27b38eca2fa2dba16fd95355fd0","44000","No"
"0x02ba4e147529ad6895f3011aa0b3e04e6b4625e4","2000","No"
"0x02c1b7717603f3fc36fbe58ec5d80779cb186a88","1000","No"
"0x02c2b198c31375f2ee8c40ef7fe3c2d4bb557fab","1000","No"
"0x02cff86a7a184792956250df3e15de75ff5fc8ed","1000","No"
"0x02d145366399aed1b1f2672ffb213166010d21df","6000","No"
"0x02d1832afb9382b22c04fc5efeea362ab38b3116","1000","No"
"0x02d27ce0bb7bc58f7a0475d6e8b9fcddc3dbe101","27000","No"
"0x02d87745d761a2b2ddf17d3ecf8e4c8ffeed3b2f","1000","No"
"0x02d9d71050f22f1ffcfc08544c098e1970ddc53a","1000","No"
"0x02dcbd3771c4ae012aff9de370a5871bda55d0b7","12000","No"
"0x02de44b458a365cf9b2be12918a4bfcb487bd6e9","2000","No"
"0x02e029440fbe80a77ee9167d8264953ec1c6853b","44000","No"
"0x02e2372480623df86f7414e44eb6c38cfb69cd54","139000","No"
"0x02ef46a19414ae094eb24d81b48e697646acac6e","1000","No"
"0x02ef76e28ecd7c8346a439ae094e5834a80203d7","2000","No"
"0x02f3cad201e5f53e714d5a240644ad2e974f453f","755552.5","No"
"0x02f4ff1023a88aa9dc410f8eabd343856148201f","1000","No"
"0x02f54ed5bca30002cd2cfd3a7fce60d43eb35f3a","52000","No"
"0x02f8b4b490ce9a78c37553742bdaae7c2e47514b","1000","No"
"0x02fadac1314096d4c6d256569908aa0ba1cbec76","32000","No"
"0x02fb5a44956ea19990776dae2da190998ce1fdf8","145000","No"
"0x02fc158ead1bad19985a703dc4eab5d38759031e","1000","No"
"0x030723c47b760535470bf741329116916a06bb65","40000","No"
"0x03075e20dd565d51558ba301b526c271e006b2c6","1000","No"
"0x0315a5146fd1bb8fbd75336e0b6894b783fa14e8","2000","No"
"0x0315e4330dad50358d3efe8d7e0401fb9bc5baf1","4000","No"
"0x03197c2abed3a4f2c0840da3c05c8bc18cdcf30a","2000","No"
"0x031c46e584ffd5db30c4730e848ae0155d70630a","1000","No"
"0x03297b2112263b1aeb2c964081f3463259334b00","2000","No"
