"HolderAddress","Balance","PendingBalanceUpdate"
"0x0446ceec9fac65a277b1122c88b9031ec96836cf","2000","No"
"0x045cc945d58d7d4bce1ea50f786185d161e013a7","50000","No"
"0x045fd117a5709bf8c8bc54d61ca391e1961e0d31","19000","No"
"0x0490e0f2fe01e09a47368931ff606a5afc8824fc","10000","No"
"0x04981bcfffd88073e82fc58303f4e4056d6bdb42","1000","No"
"0x04a858e9abd96dc9c3c058ffbdf6cae47b3e92cc","26000","No"
"0x04b0877f7433965d54bbeab23bf8b03a68f85143","1000","No"
"0x04b102a081ca412adef7a52ac8627774287dc5c9","22000","No"
"0x04b2e2fc5836702f74e1f549209d5d4cd7089ceb","5000","No"
"0x04b3f849c84839054a7c5d26e7a3f9d822597313","2000","No"
"0x04b5ba65f3e009bce0c5a006cb213a815ae2ce60","6000","No"
"0x04bb93ecd5376694034beb48189030dbdeabdf5a","4000","No"
"0x04c038a5c54eec700ecc57ead9183e81e20739fb","1000","No"
"0x04c70730fd500d61e15e18d350045af01062db14","2000","No"
"0x04ca4d21d3a11b09f1d4a37b4558119a1a0fecdf","3645","No"
"0x04d65931e125c52fe609108fe4d68ce1cb5df170","3000","No"
"0x04da5daafd32e951352e01c18a5c72977707067f","16000","No"
"0x04e87fe721cd3062ff41fb2d176e5784695ccb3d","1000","No"
"0x04e95a60c2d37f0883d1d15091a3de427da9f44b","1000","No"
"0x04f10a45903df366f8415ea51ce36f02ee90454c","10000","No"
"0x0507f0d0f64d09b5e53ce7501b531ec9c9fddb97","43000","No"
"0x050f689e06b5174cb5a794328a5c0185ce5638d3","1000","No"
"0x054175cd42a8803ce940e897441f71d5a5eb3cc9","50000","No"
"0x0543a2d36b0ecdcf23c9036af9f5d9ec52c46689","1000","No"
"0x0544f8a4d368593626f9a2de18293cb679d6c3d0","4000","No"
"0x0552c7e5bf75886171adb844e85b16d0d6bba5bc","50000","No"
"0x055f1cfdf10955bd0861d304d3629bb5f0e71a5b","1000","No"
"0x0586aedc7e4f0bc86840a118e6eb71e649b1560f","49000","No"
"0x058c779525ed95bf15641908d47a02e3a9f715b7","40000","No"
"0x0595f4cf244c54e8ac022eb45f0cc371f6851fcc","1000","No"
"0x05a107ae64cf029086ee996d2599f09cc4f2274e","3000","No"
"0x05a2585e898f5d2b0fc7df748d1718bdcc3c80ac","3000","No"
"0x05a9b4185184705b89fc75513e4ae4ba1466e061","10000","No"
"0x05c2fde0eb56578674a653a267ea5371752bad75","22000","No"
"0x05c74424df709fcb2009eefa2bb46a9e00f4a2ef","6000","No"
"0x05cae97bcc859ca6bc9500bff23406e0ff2203cd","10000","No"
"0x05de096a2541bbb470713428332c12677fe61507","2000","No"
"0x05fce7d564b7fd46a1f19dc962b0af76277c00d4","1000","No"
"0x064cb0bb4c8abe11935134aee670c032d6833556","2000","No"
"0x064d8a5bb0320ecab43c2a93dbf90f8d7207bd45","50000","No"
"0x0651ad1050f636f79b6964994df6c28dc4fdba91","1000","No"
"0x0656f17572d1f45b6b263e1a4f43be8abd78ff63","8000","No"
"0x066565d74e186890938a0596ba1aede765c99551","16000","No"
"0x06759bb9e6964f813ec38ad2bb3c9e17e6f0a1fb","16000","No"
"0x067a60c207eaea9c6c4aabfe4cf4d9c9fc48841e","4000","No"
"0x0691efa852863a2275b62fd2cd7a1f4306e6a445","1000","No"
"0x069eee1a915681e2229707bfe30b798f1fb786ef","13000","No"
"0x06be3d823d1b83f6bce63dec5b986e86041beb72","1000","No"
"0x06cdc7d3fc8c13ac81b82b016464a97cc0c952bc","12000","No"
"0x06e2f12919099e23a5dc5a9de1e929cb47614721","1000","No"
"0x06ee66b0f54beaa7c5efd59b95214b72a209f26a","12999.9","No"
"0x06f36d3c9dc431230babf26ea258f7b7ef20c92b","3000","No"
"0x06f520adc67cf5fb38c100a265dbd55c16f26d78","4000","No"
"0x06f538c9a42272e92adff26d18f0fd96a346ca5f","50000","No"
"0x070356a063d3b13ed7016298adfdcd2a1c60b531","4000","No"
"0x070f565dfd13906eba848374c34a4485bd21e876","1000","No"
"0x071121a2f2420917d1f0b7b27ac9573e5c49d141","26000","No"
"0x0716ee1a5a5607277fc3fcb08db75673e32f3b06","7000","No"
"0x07296b4eb620e526e1cd95f7c9316856a734db29","1000","No"
"0x073015c430373427becd3cb44a9ef1dfb6e4f6e9","1300","No"
"0x07315de9000fcb095b523a032ed9f9fde9d7013d","2000","No"
"0x0735b3685a432399d5df9482b801aa2a893ff825","1000","No"
"0x07580b7832d59e898180ae52bb108ca9ea4ff1ce","4000","No"
"0x075c6869a93e7a96c4da1ceb0fb05fc0b06b5ddc","7000","No"
"0x0768c951577ce64cc73b2cf910384af4d1a1bd4e","3000","No"
